iter	Accuracy	Logloss
0	0.8986175115	0.6649567106
1	0.9262672811	0.6308932214
2	0.9400921659	0.609625291
3	0.9493087558	0.5931088473
4	0.9539170507	0.5783810415
5	0.9078341014	0.5400315305
6	0.8940092166	0.5204480176
7	0.9078341014	0.5090553327
8	0.9216589862	0.4972526698
9	0.930875576	0.4867937793
10	0.9262672811	0.4655749623
11	0.930875576	0.4534218147
12	0.935483871	0.4419803305
13	0.930875576	0.422999587
14	0.9170506912	0.4090825996
15	0.9032258065	0.3922861911
16	0.9078341014	0.3780949624
17	0.9124423963	0.3664788054
18	0.9124423963	0.3594007082
19	0.930875576	0.3436607984
20	0.9400921659	0.3365132083
21	0.9493087558	0.3298855883
22	0.9493087558	0.3232653728
23	0.9539170507	0.3128929796
24	0.9539170507	0.3074736294
25	0.9539170507	0.3034619398
26	0.9585253456	0.2964122862
27	0.9585253456	0.2923526577
28	0.9585253456	0.2886354187
29	0.9585253456	0.2843676381
30	0.9585253456	0.2774126565
31	0.9585253456	0.2731485121
32	0.9585253456	0.2676495153
33	0.9585253456	0.2627323091
34	0.9585253456	0.2584501192
35	0.9585253456	0.2551929467
36	0.9585253456	0.2497521442
37	0.9585253456	0.2454134737
38	0.9585253456	0.2417203729
39	0.9585253456	0.2391584865
40	0.9585253456	0.2328669348
41	0.9585253456	0.2303842628
42	0.9585253456	0.2262828857
43	0.9585253456	0.2236038238
44	0.9585253456	0.2215640002
45	0.9585253456	0.2169184753
46	0.9585253456	0.2144697527
47	0.9585253456	0.2118353938
48	0.9585253456	0.2096597027
49	0.9585253456	0.2078443514
50	0.9585253456	0.2053749372
51	0.9631336406	0.2022129652
52	0.9631336406	0.2002151188
53	0.9585253456	0.197361462
54	0.9631336406	0.1952275653
55	0.9631336406	0.19303446
56	0.9631336406	0.1912363521
57	0.9631336406	0.1896855472
58	0.9677419355	0.187833962
59	0.9677419355	0.1862702881
60	0.9677419355	0.1843801619
61	0.9677419355	0.1822291646
62	0.9723502304	0.1805099616
63	0.9723502304	0.1788657509
64	0.9723502304	0.1774675971
65	0.9723502304	0.1756315203
66	0.9723502304	0.1741341889
67	0.9723502304	0.172455033
68	0.9723502304	0.1709893244
69	0.9723502304	0.1689549494
70	0.9723502304	0.1674180512
71	0.9723502304	0.1659599565
72	0.9723502304	0.164422366
73	0.9723502304	0.1630388314
74	0.9769585253	0.1617856895
75	0.9769585253	0.1599666227
76	0.9769585253	0.1582773123
77	0.9769585253	0.1570168032
78	0.9769585253	0.1554471109
79	0.9769585253	0.1538156693
80	0.9769585253	0.152508783
81	0.9769585253	0.1510975494
82	0.9769585253	0.1499547922
83	0.9769585253	0.1485983095
84	0.9769585253	0.1470764458
85	0.9861751152	0.1456224179
86	0.9861751152	0.1443207143
87	0.9861751152	0.1429222213
88	0.9861751152	0.1415551514
89	0.9861751152	0.1403376094
90	0.9861751152	0.1390534971
91	0.9861751152	0.1380240391
92	0.9861751152	0.1367489793
93	0.9861751152	0.1355014366
94	0.9861751152	0.1343974874
95	0.9861751152	0.1331600468
96	0.9861751152	0.1321187543
97	0.9861751152	0.1309279199
98	0.9861751152	0.1299483226
99	0.9861751152	0.1289883004
100	0.9907834101	0.1278565644
101	0.9907834101	0.126768932
102	0.9907834101	0.1259274822
103	0.9907834101	0.124853462
104	0.9907834101	0.1240971305
105	0.9907834101	0.1231730336
106	0.9907834101	0.1221685098
107	0.9907834101	0.1213866376
108	0.9953917051	0.1206834513
109	0.9953917051	0.1197968763
110	0.9953917051	0.1191140172
111	0.9953917051	0.1183628441
112	0.9953917051	0.1174433546
113	0.9953917051	0.1167888107
114	0.9953917051	0.1158838942
115	0.9953917051	0.1150956894
116	0.9953917051	0.1144685563
117	0.9953917051	0.1137896589
118	0.9953917051	0.1129393892
119	0.9953917051	0.1123378289
