iter	Passed	Remaining
0	5	666
1	8	509
2	17	670
3	21	627
4	26	602
5	27	521
6	32	525
7	37	519
8	41	515
9	46	511
10	47	474
11	63	571
12	81	669
13	84	641
14	94	658
15	95	620
16	98	598
17	101	575
18	106	566
19	107	539
20	113	536
21	118	529
22	122	515
23	123	495
24	130	495
25	135	488
26	139	480
27	145	476
28	150	470
29	158	476
30	161	462
31	165	454
32	170	450
33	175	444
34	180	439
35	188	438
36	189	424
37	194	420
38	197	409
39	203	407
40	204	394
41	209	388
42	211	377
43	217	375
44	221	369
45	224	360
46	229	357
47	241	362
48	248	360
49	252	354
50	257	348
51	260	340
52	264	334
53	265	324
54	269	318
55	275	314
56	279	308
57	283	303
58	290	300
59	295	295
60	299	289
61	305	285
62	310	280
63	314	275
64	320	270
65	324	265
66	328	259
67	334	255
68	338	250
69	342	244
70	347	239
71	352	234
72	356	229
73	360	224
74	365	219
75	369	214
76	374	209
77	383	206
78	388	201
79	393	196
80	397	191
81	401	185
82	405	180
83	410	175
84	414	170
85	419	165
86	424	160
87	428	155
88	433	150
89	437	145
90	441	140
91	446	135
92	450	130
93	454	125
94	459	120
95	463	115
96	467	110
97	471	105
98	475	100
99	479	95
100	484	91
101	488	86
102	492	81
103	497	76
104	501	71
105	505	66
106	509	61
107	515	57
108	519	52
109	523	47
110	528	42
111	532	38
112	537	33
113	541	28
114	546	23
115	550	18
116	554	14
117	560	9
118	567	4
119	575	0
